,year,state,count
1,2015,AL,17
2,2015,AR,5
3,2015,AZ,42
4,2015,CA,190
5,2015,CO,29
6,2015,CT,2
7,2015,DC,4
8,2015,DE,3
9,2015,FL,61
10,2015,GA,29
11,2015,HI,2
12,2015,IA,5
13,2015,ID,7
14,2015,IL,21
15,2015,IN,19
16,2015,KS,9
17,2015,KY,16
18,2015,LA,27
19,2015,MA,9
20,2015,MD,15
21,2015,ME,2
22,2015,MI,16
23,2015,MN,12
24,2015,MO,21
25,2015,MS,8
26,2015,MT,4
27,2015,NC,23
28,2015,ND,1
29,2015,NE,8
30,2015,NH,3
31,2015,NJ,15
32,2015,NM,20
33,2015,NV,19
34,2015,NY,19
35,2015,OH,29
36,2015,OK,32
37,2015,OR,15
38,2015,PA,18
39,2015,SC,19
40,2015,SD,3
41,2015,TN,20
42,2015,TX,100
43,2015,UT,10
44,2015,VA,17
45,2015,VT,1
46,2015,WA,16
47,2015,WI,11
48,2015,WV,10
49,2015,WY,6
51,2016,AL,24
52,2016,AR,15
53,2016,AZ,49
54,2016,CA,139
55,2016,CO,31
56,2016,CT,3
57,2016,DC,5
58,2016,DE,1
59,2016,FL,60
60,2016,GA,27
61,2016,HI,6
62,2016,IA,5
63,2016,ID,6
64,2016,IL,26
65,2016,IN,14
66,2016,KS,10
67,2016,KY,18
68,2016,LA,19
69,2016,MA,12
70,2016,MD,15
71,2016,ME,2
72,2016,MI,12
73,2016,MN,14
74,2016,MO,21
75,2016,MS,8
76,2016,MT,5
77,2016,NC,32
78,2016,ND,1
79,2016,NE,7
80,2016,NH,2
81,2016,NJ,12
82,2016,NM,21
83,2016,NV,13
84,2016,NY,17
85,2016,OH,26
86,2016,OK,26
87,2016,OR,15
88,2016,PA,22
89,2016,RI,2
90,2016,SC,17
91,2016,SD,4
92,2016,TN,22
93,2016,TX,81
94,2016,UT,8
95,2016,VA,17
96,2016,VT,2
97,2016,WA,26
98,2016,WI,17
99,2016,WV,12
100,2016,WY,2
102,2017,AL,25
103,2017,AR,12
104,2017,AZ,44
105,2017,CA,160
106,2017,CO,31
107,2017,CT,5
108,2017,DC,2
109,2017,DE,6
110,2017,FL,57
111,2017,GA,29
112,2017,HI,3
113,2017,IA,5
114,2017,ID,6
115,2017,IL,19
116,2017,IN,19
117,2017,KS,12
118,2017,KY,17
119,2017,LA,19
120,2017,MA,3
121,2017,MD,9
122,2017,ME,9
123,2017,MI,14
124,2017,MN,9
125,2017,MO,31
126,2017,MS,17
127,2017,MT,6
128,2017,NC,22
129,2017,ND,3
130,2017,NH,3
131,2017,NJ,12
132,2017,NM,21
133,2017,NV,16
134,2017,NY,16
135,2017,OH,34
136,2017,OK,26
137,2017,OR,12
138,2017,PA,23
139,2017,RI,1
140,2017,SC,12
141,2017,SD,3
142,2017,TN,27
143,2017,TX,69
144,2017,UT,6
145,2017,VA,23
146,2017,VT,1
147,2017,WA,38
148,2017,WI,24
149,2017,WV,11
150,2017,WY,1
152,2018,AL,13
153,2018,AR,20
154,2018,AZ,61
155,2018,CA,116
156,2018,CO,46
157,2018,CT,1
158,2018,DC,1
159,2018,FL,65
160,2018,GA,44
161,2018,HI,11
162,2018,IA,9
163,2018,ID,13
164,2018,IL,20
165,2018,IN,18
166,2018,KS,7
167,2018,KY,20
168,2018,LA,15
169,2018,MA,3
170,2018,MD,12
171,2018,ME,3
172,2018,MI,20
173,2018,MN,12
174,2018,MO,24
175,2018,MS,10
176,2018,MT,6
177,2018,NC,25
178,2018,ND,4
179,2018,NE,1
180,2018,NH,2
181,2018,NJ,12
182,2018,NM,20
183,2018,NV,22
184,2018,NY,15
185,2018,OH,32
186,2018,OK,33
187,2018,OR,16
188,2018,PA,23
189,2018,RI,1
190,2018,SC,12
191,2018,SD,3
192,2018,TN,25
193,2018,TX,84
194,2018,UT,19
195,2018,VA,18
196,2018,VT,2
