,date,count_case,Holiday_name
0,2017/2/2,3,Groundhog day
1,2017/2/14,3,Valentine‘s day
2,2017/4/1,1,April Fool‘s day
3,2017/4/20,3,Easter
4,2017/6/14,2,Flag day
5,2017/9/11,3,911 Anniversary
6,2017/11/1,1,All Saints‘s day
7,2018/2/2,1,Groundhog day
8,2018/2/14,4,Valentine‘s day
9,2018/3/17,1,Saint Patrick‘s day
10,2018/4/1,7,April Fool‘s day
11,2018/4/18,5,Good Friday
12,2018/4/20,3,Easter
13,2018/5/11,4,Mother‘s day
14,2018/6/14,5,Flag day
15,2019/2/2,3,Groundhog day
16,2019/2/14,2,Valentine‘s day
17,2019/4/1,2,April Fool‘s day
18,2019/4/18,3,Good Friday
19,2019/4/20,3,Easter
20,2019/5/11,2,Mother‘s day
21,2019/9/11,1,911 Anniversary
22,2019/11/1,4,All Saints‘s day
23,2020/2/2,2,Groundhog day
24,2020/2/14,3,Valentine‘s day
25,2020/3/17,1,Saint Patrick‘s day
26,2020/4/1,1,April Fool‘s day
27,2020/4/18,2,Good Friday
28,2020/11/1,2,All Saints‘s day
29,2021/2/2,2,Groundhog day
30,2021/2/14,1,Valentine‘s day
31,2021/3/17,2,Saint Patrick‘s day
32,2021/4/1,4,April Fool‘s day
33,2021/4/18,2,Good Friday
34,2021/4/20,1,Easter
35,2021/5/11,1,Mother‘s day
36,2021/6/14,1,Flag day
37,2021/9/11,2,911 Anniversary
38,2022/4/1,1,April Fool‘s day
39,2022/4/20,1,Easter
